,lon,lat,common_name,tree_type,entry_source
93,-69.645603,44.557555,,,Citizen Survey 2021
94,-69.641329,44.555338,Oak,Ornamental,Citizen Survey 2021
95,-69.641329,44.555338,Pear,Fruiting / Flowering,Citizen Survey 2021
96,-69.646415,44.549539,,,Citizen Survey 2021
97,-69.646404,44.549687,,,Citizen Survey 2021
98,-69.656639,44.550227,Oak,Ornamental,Citizen Survey 2021
99,-69.656639,44.550227,Maple,Ornamental,Citizen Survey 2021
100,-69.656639,44.550227,Birch,Ornamental,Citizen Survey 2021
101,-69.637755,44.541066,,,Citizen Survey 2021
102,-69.650073,44.555266,Apple,Fruiting / Flowering,Citizen Survey 2021
103,-69.650073,44.555266,Crabapple,Fruiting / Flowering,Citizen Survey 2021
104,-69.640596,44.555626,Oak,Ornamental,Citizen Survey 2021
105,-69.640596,44.555626,Crabapple,Fruiting / Flowering,Citizen Survey 2021
106,-69.65439,44.551145,Oak,Ornamental,Citizen Survey 2021
107,-69.637661,44.538807,Oak,Ornamental,Citizen Survey 2021
108,-69.653292,44.554906,Crabapple,Fruiting / Flowering,Citizen Survey 2021
109,-69.659029,44.54054,Pear,Fruiting / Flowering,Citizen Survey 2021
110,-69.659029,44.54054,Cherry,Fruiting / Flowering,Citizen Survey 2021
111,-69.647864,44.546789,Oak,Ornamental,Citizen Survey 2021
112,-69.637144,44.547943,,,Citizen Survey 2021
113,-69.660389,44.547838,Maple,Ornamental,Citizen Survey 2021
114,-69.647114,44.544493,,,Citizen Survey 2021
115,-69.655198,44.542984,,,Citizen Survey 2021
116,-69.661916,44.545358,,,Citizen Survey 2021
117,-69.63307,44.576293,Apple,Fruiting / Flowering,Citizen Survey 2021
118,-69.63307,44.576293,Pear,Fruiting / Flowering,Citizen Survey 2021
119,-69.63307,44.576293,Cherry,Fruiting / Flowering,Citizen Survey 2021
120,-69.651354,44.552747,,,Citizen Survey 2021
121,-69.6482,44.549335,Maple,Ornamental,Citizen Survey 2021
122,-69.636044,44.576402,Maple,Ornamental,Citizen Survey 2021
123,-69.658715,44.546169,Oak,Ornamental,Citizen Survey 2021
124,-69.658715,44.546169,Maple,Ornamental,Citizen Survey 2021
125,-69.658715,44.546169,Apple,Fruiting / Flowering,Citizen Survey 2021
126,-69.668401,44.54925,Oak,Ornamental,Citizen Survey 2021
127,-69.668401,44.54925,Pear,Fruiting / Flowering,Citizen Survey 2021
128,-69.65095,44.541883,,,Citizen Survey 2021
129,-69.647034,44.549161,,,Citizen Survey 2021
130,-69.647286,44.549187,,,Citizen Survey 2021
131,-69.676661,44.516855,,,Citizen Survey 2021
132,-69.642028,44.557585,Apple,Fruiting / Flowering,Citizen Survey 2021
133,-69.642028,44.557585,Pear,Fruiting / Flowering,Citizen Survey 2021
134,-69.651192,44.553423,,,Citizen Survey 2021
135,-69.647596,44.555001,,,Citizen Survey 2021
136,-69.656045,44.551676,Oak,Ornamental,Citizen Survey 2021
137,-69.656045,44.551676,Maple,Ornamental,Citizen Survey 2021
138,-69.656045,44.551676,Crabapple,Fruiting / Flowering,Citizen Survey 2021
139,-69.636208,44.577558,Oak,Ornamental,Citizen Survey 2021
140,-69.636208,44.577558,Apple,Fruiting / Flowering,Citizen Survey 2021
141,-69.636208,44.577558,Crabapple,Fruiting / Flowering,Citizen Survey 2021
142,-69.636208,44.577558,Pear,Fruiting / Flowering,Citizen Survey 2021
143,-69.657362,44.549571,Oak,Ornamental,Citizen Survey 2021
144,-69.657362,44.549571,Birch,Ornamental,Citizen Survey 2021
145,-69.637432,44.574319,Oak,Ornamental,Citizen Survey 2021
146,-69.637432,44.574319,Maple,Ornamental,Citizen Survey 2021
147,-69.637432,44.574319,Apple,Fruiting / Flowering,Citizen Survey 2021
148,-69.637432,44.574319,Crabapple,Fruiting / Flowering,Citizen Survey 2021
149,-69.643683,44.553565,,,Citizen Survey 2021
150,-69.655078,44.550817,Oak,Ornamental,Citizen Survey 2021
151,-69.634238,44.57535,,,Citizen Survey 2021
152,-69.645013,44.553737,,,Citizen Survey 2021
153,-69.642965,44.53925,Oak,Ornamental,Citizen Survey 2021
154,-69.642965,44.53925,Apple,Fruiting / Flowering,Citizen Survey 2021
155,-69.643043,44.543976,,,Citizen Survey 2021
156,-69.635133,44.561562,,,Citizen Survey 2021
157,-69.661397,44.545136,Birch,Ornamental,Citizen Survey 2021
158,-69.637366,44.552133,,,Citizen Survey 2021
159,-69.689079,44.537922,Crabapple,Fruiting / Flowering,Citizen Survey 2021
160,-69.626889,44.5707,,,Citizen Survey 2021
161,-69.640901,44.542723,,,Citizen Survey 2021
162,-69.654962,44.543233,,,Citizen Survey 2021
163,-69.639648,44.551256,,,Citizen Survey 2021
164,-69.637837,44.552562,Crabapple,Fruiting / Flowering,Citizen Survey 2021
165,-69.658721,44.540011,,,Citizen Survey 2021
166,-69.657098,44.546286,,,Citizen Survey 2021
167,-69.638273,44.540622,,,Citizen Survey 2021
168,-69.649545,44.545123,,,Citizen Survey 2021
169,-69.640406,44.557256,Oak,Ornamental,Citizen Survey 2021
170,-69.673414,44.547992,Maple,Ornamental,Citizen Survey 2021
171,-69.673414,44.547992,Birch,Ornamental,Citizen Survey 2021
172,-69.639093,44.552938,,,Citizen Survey 2021
173,-69.669347,44.549533,Ash,Ornamental,Citizen Survey 2021
174,-69.680826,44.506117,Apple,Fruiting / Flowering,Citizen Survey 2021
175,-69.65652,44.54687,,,Citizen Survey 2021
176,-69.648662,44.548351,Oak,Ornamental,Citizen Survey 2021
177,-69.648662,44.548351,Maple,Ornamental,Citizen Survey 2021
178,-69.648662,44.548351,Birch,Ornamental,Citizen Survey 2021
179,-69.648662,44.548351,Apple,Fruiting / Flowering,Citizen Survey 2021
180,-69.648662,44.548351,Pear,Fruiting / Flowering,Citizen Survey 2021
181,-69.654746,44.548681,Oak,Ornamental,Citizen Survey 2021
182,-69.645876,44.550248,,,Citizen Survey 2021
183,-69.641345,44.561941,,,Citizen Survey 2021
184,-69.64218,44.56281,,,Citizen Survey 2021
185,-69.638232,44.578402,Oak,Ornamental,Citizen Survey 2021
186,-69.638232,44.578402,Apple,Fruiting / Flowering,Citizen Survey 2021
187,-69.638232,44.578402,Crabapple,Fruiting / Flowering,Citizen Survey 2021
188,-69.638232,44.578402,Pear,Fruiting / Flowering,Citizen Survey 2021
189,-69.638232,44.578402,Cherry,Fruiting / Flowering,Citizen Survey 2021
190,-69.638232,44.578402,Serviceberry,Ornamental,Citizen Survey 2021
191,-69.655002,44.545128,Ash,Ornamental,Citizen Survey 2021
192,-69.655002,44.545128,Cherry,Fruiting / Flowering,Citizen Survey 2021
193,-69.649959,44.546692,,,Citizen Survey 2021
194,-69.638543,44.5803,,,Citizen Survey 2021
195,-69.646256,44.549954,,,Citizen Survey 2021
196,-69.657846,44.545593,Oak,Ornamental,Citizen Survey 2021
197,-69.65589,44.545744,,,Citizen Survey 2021
198,-69.658909,44.547235,,,Citizen Survey 2021
199,-69.656928,44.546274,Oak,Ornamental,Citizen Survey 2021
200,-69.661223,44.537524,Oak,Ornamental,Citizen Survey 2021
201,-69.661223,44.537524,Crabapple,Fruiting / Flowering,Citizen Survey 2021
202,-69.647874,44.538664,,,Citizen Survey 2021
203,-69.656636,44.532596,Oak,Ornamental,Citizen Survey 2021
204,-69.656636,44.532596,Maple,Ornamental,Citizen Survey 2021
205,-69.638006,44.560578,,,Citizen Survey 2021
206,-69.645117,44.553404,,,Citizen Survey 2021
207,-69.654103,44.555869,,,Citizen Survey 2021
208,-69.63323,44.562549,,,Citizen Survey 2021
209,-69.675013,44.548491,Apple,Fruiting / Flowering,Citizen Survey 2021
210,-69.675013,44.548491,Pear,Fruiting / Flowering,Citizen Survey 2021
211,-69.653161,44.553299,,,Citizen Survey 2021
212,-69.639236,44.561895,,,Citizen Survey 2021
213,-69.672021,44.552132,Oak,Ornamental,Citizen Survey 2021
214,-69.672021,44.552132,Cherry,Fruiting / Flowering,Citizen Survey 2021
215,-69.637363,44.560474,,,Citizen Survey 2021
216,-69.655654,44.540947,,,Citizen Survey 2021
217,-69.631943,44.559991,,,Citizen Survey 2021
218,-69.655624,44.555693,Apple,Fruiting / Flowering,Citizen Survey 2021
219,-69.647618,44.556441,,,Citizen Survey 2021
220,-69.656036,44.545311,,,Citizen Survey 2021
221,-69.640557,44.561829,,,Citizen Survey 2021
222,-69.656372,44.544976,Apple,Fruiting / Flowering,Citizen Survey 2021
223,-69.671433,44.521261,,,Citizen Survey 2021
224,-69.644969,44.562835,,,Citizen Survey 2021
225,-69.641631,44.555881,Oak,Ornamental,Citizen Survey 2021
226,-69.641631,44.555881,Apple,Fruiting / Flowering,Citizen Survey 2021
227,-69.642145,44.539655,,,Citizen Survey 2021
228,-69.646082,44.549005,Oak,Ornamental,Citizen Survey 2021
229,-69.635969,44.561413,,,Citizen Survey 2021
230,-69.645345,44.540483,,,Citizen Survey 2021
231,-69.654741,44.554438,,,Citizen Survey 2021
232,-69.639772,44.555104,,,Citizen Survey 2021
233,-69.634679,44.560921,,,Citizen Survey 2021
234,-69.673268,44.52102,,,Citizen Survey 2021
235,-69.649965,44.544391,Apple,Fruiting / Flowering,Citizen Survey 2021
236,-69.64021,44.550267,,,Citizen Survey 2021
237,-69.642826,44.563184,,,Citizen Survey 2021
238,-69.636513,44.575513,,,Citizen Survey 2021
239,-69.659131,44.536218,Oak,Ornamental,Citizen Survey 2021
240,-69.659131,44.536218,Ash,Ornamental,Citizen Survey 2021
241,-69.651375,44.554601,,,Citizen Survey 2021
242,-69.635279,44.551276,,,Citizen Survey 2021
243,-69.659389,44.54734,Oak,Ornamental,Citizen Survey 2021
244,-69.659389,44.54734,Maple,Ornamental,Citizen Survey 2021
245,-69.659389,44.54734,Birch,Ornamental,Citizen Survey 2021
246,-69.659389,44.54734,Crabapple,Fruiting / Flowering,Citizen Survey 2021
247,-69.659389,44.54734,Cherry,Fruiting / Flowering,Citizen Survey 2021
248,-69.63794,44.550486,,,Citizen Survey 2021
249,-69.64134,44.562643,,,Citizen Survey 2021
250,-69.641268,44.556081,Cherry,Fruiting / Flowering,Citizen Survey 2021
251,-69.654447,44.547877,,,Citizen Survey 2021
252,-69.674377,44.552834,,,Citizen Survey 2021
253,-69.634901,44.575544,,,Citizen Survey 2021
254,-69.652952,44.553764,Maple,Ornamental,Citizen Survey 2021
255,-69.713565,44.513763,,,Citizen Survey 2021
256,-69.628029,44.564896,,,Citizen Survey 2021
257,-69.658623,44.535227,,,Citizen Survey 2021
258,-69.651814,44.548824,,,Citizen Survey 2021
259,-69.664057,44.543793,Apple,Fruiting / Flowering,Citizen Survey 2021
260,-69.664057,44.543793,Crabapple,Fruiting / Flowering,Citizen Survey 2021
261,-69.664057,44.543793,Hawthorn,Fruiting / Flowering,Citizen Survey 2021
262,-69.668398,44.549403,Oak,Ornamental,Citizen Survey 2021
263,-69.668398,44.549403,Maple,Ornamental,Citizen Survey 2021
264,-69.668398,44.549403,Ash,Ornamental,Citizen Survey 2021
265,-69.668398,44.549403,Birch,Ornamental,Citizen Survey 2021
266,-69.668398,44.549403,Crabapple,Fruiting / Flowering,Citizen Survey 2021
267,-69.650917,44.552524,,,Citizen Survey 2021
268,-69.635747,44.542774,,,Citizen Survey 2021
269,-69.645608,44.548256,,,Citizen Survey 2021
270,-69.641892,44.556073,,,Citizen Survey 2021
271,-69.655127,44.554616,Oak,Ornamental,Citizen Survey 2021
272,-69.641385,44.572983,,,Citizen Survey 2021
273,-69.628631,44.529517,,,Citizen Survey 2021
274,-69.63632,44.554893,Cherry,Fruiting / Flowering,Citizen Survey 2021
275,-69.638445,44.555269,,,Citizen Survey 2021
276,-69.637729,44.550798,,,Citizen Survey 2021
277,-69.655512,44.532841,Crabapple,Fruiting / Flowering,Citizen Survey 2021
