,lon,lat,name,common_name,tree_type,obs_btm,dbh1,condition,entry_source
177,-69.6297763,44.549686,Crabapple ,Crabapple,Fruiting / Flowering,10,8.00 ,Good ,Bartlett 2022
178,-69.62975426,44.5496406,Maple-Norway ,Maple,Ornamental,2,20.00 ,Good ,Bartlett 2022
179,-69.63373085,44.5510305,Maple-Norway ,Maple,Ornamental,3,21.00 ,Good ,Bartlett 2022
180,-69.64318726,44.5345378,Oak-Northern Red ,Oak,Ornamental,30,18.00 ,Good ,Bartlett 2022
181,-69.63314517,44.55092759,Elm-American ,Elm,Ornamental,35,18.00 ,Good ,Bartlett 2022
182,-69.64320054,44.53453972,Oak-Northern Red ,Oak,Ornamental,8,12.00 ,Good ,Bartlett 2022
183,-69.64232875,44.53516495,Cherry-Black ,Cherry,Fruiting / Flowering,25,12.00 ,Good ,Bartlett 2022
184,-69.6331545,44.55076078,Maple-Red ,Maple,Ornamental,2,30.00 ,Good ,Bartlett 2022
185,-69.66020598,44.53340832,Cherry-Black ,Cherry,Fruiting / Flowering,2,5.00 ,Good ,Bartlett 2022
186,-69.66018435,44.53323156,Birch-Paper ,Birch,Ornamental,1,3.00 ,Good ,Bartlett 2022
187,-69.66139511,44.52799982,Oak-Northern Red ,Oak,Ornamental,7,13.00 ,Good ,Bartlett 2022
188,-69.66142088,44.52799245,Cherry-Black ,Cherry,Fruiting / Flowering,3,6.00 ,Good ,Bartlett 2022
189,-69.66119148,44.52777806,Elm-American ,Elm,Ornamental,6,5.00 ,Good ,Bartlett 2022
190,-69.6606174,44.52709623,Poplar-Aspen ,Poplar,Ornamental,15,13.00 ,Good ,Bartlett 2022
191,-69.66113481,44.52756173,Crabapple ,Crabapple,Fruiting / Flowering,10,4.00 ,Good ,Bartlett 2022
192,-69.65922142,44.52761212,Ash-White ,Ash,Ornamental,2,5.00 ,Good ,Bartlett 2022
193,-69.65606775,44.58058985,Oak-Northern Red ,Oak,Ornamental,5,13.00 ,Poor ,Bartlett 2022
194,-69.6560701,44.58055996,Maple-Red ,Maple,Ornamental,5,10.00 ,Poor ,Bartlett 2022
195,-69.65591089,44.58025612,Oak-Northern Red ,Oak,Ornamental,3,6.00 ,Poor ,Bartlett 2022
196,-69.65607388,44.57997892,Oak-Northern Red ,Oak,Ornamental,2,13.00 ,Poor ,Bartlett 2022
197,-69.65575745,44.57988959,Oak-Northern Red ,Oak,Ornamental,1,11.00 ,Poor ,Bartlett 2022
198,-69.65555584,44.57988833,Poplar-Aspen ,Poplar,Ornamental,3,14.00 ,Good ,Bartlett 2022
199,-69.6555364,44.57986328,Poplar-Aspen ,Poplar,Ornamental,3,12.00 ,Good ,Bartlett 2022
200,-69.65547694,44.57979259,Oak-Northern Red ,Oak,Ornamental,6,24.00 ,Good ,Bartlett 2022
201,-69.65555694,44.5796755,Oak-Northern Red ,Oak,Ornamental,8,16.00 ,Good ,Bartlett 2022
202,-69.65547501,44.57960192,Oak-Northern Red ,Oak,Ornamental,1,9.00 ,Good ,Bartlett 2022
203,-69.65543736,44.57957439,Oak-Northern Red ,Oak,Ornamental,3,12.00 ,Good ,Bartlett 2022
204,-69.65558264,44.57947469,Oak-Northern Red ,Oak,Ornamental,4,16.00 ,Good ,Bartlett 2022
205,-69.65565845,44.57941239,Oak-Northern Red ,Oak,Ornamental,3,8.00 ,Good ,Bartlett 2022
206,-69.65547184,44.57931219,Poplar-Bigtooth Aspen ,Poplar,Ornamental,1,14.00 ,Good ,Bartlett 2022
207,-69.65549903,44.57925144,Oak-Northern Red ,Oak,Ornamental,6,13.00 ,Good ,Bartlett 2022
208,-69.65514002,44.57885686,Oak-Northern Red ,Oak,Ornamental,2,8.00 ,Good ,Bartlett 2022
209,-69.65486503,44.57848313,Oak-Northern Red ,Oak,Ornamental,3,25.00 ,Good ,Bartlett 2022
210,-69.65484454,44.57844515,Oak-Northern Red ,Oak,Ornamental,3,30.00 ,Good ,Bartlett 2022
211,-69.6546662,44.57821164,Oak-Northern Red ,Oak,Ornamental,1,7.00 ,Good ,Bartlett 2022
212,-69.65451756,44.57776202,Oak-Northern Red ,Oak,Ornamental,5,18.00 ,Good ,Bartlett 2022
213,-69.65420272,44.57766511,Oak-Northern Red ,Oak,Ornamental,2,9.00 ,Good ,Bartlett 2022
214,-69.65400355,44.57719562,Oak-Northern Red ,Oak,Ornamental,2,8.00 ,Good ,Bartlett 2022
215,-69.65398351,44.57717061,Oak-Northern Red ,Oak,Ornamental,4,9.00 ,Good ,Bartlett 2022
