,lon,lat,name,common_name,tree_type,obs_btm,dbh1,condition,entry_source
0,-69.63344511,44.55127084,Crabapple ,Crabapple,Fruiting / Flowering,75,10,Good ,Bartlett 2021
1,-69.62973408,44.5495351,Crabapple ,Crabapple,Fruiting / Flowering,50,21,Fair ,Bartlett 2021
2,-69.6271305,44.55195911,Elm-American ,Elm,Ornamental,50,4,Good ,Bartlett 2021
3,-69.62936061,44.54957609,Elm-American ,Elm,Ornamental,50,42,Good ,Bartlett 2021
4,-69.66230072,44.52873009,Oak-Northern Red ,Oak,Ornamental,50,24,Good ,Bartlett 2021
5,-69.65900935,44.52789299,Cherry-Black ,Cherry,Fruiting / Flowering,45,24,Poor ,Bartlett 2021
6,-69.66150693,44.52850077,Crabapple ,Crabapple,Fruiting / Flowering,40,14,Good ,Bartlett 2021
7,-69.62717064,44.5521075,Elm-American ,Elm,Ornamental,40,4,Good ,Bartlett 2021
8,-69.6301038,44.5681192,Pear-Callery ,Pear,Fruiting / Flowering,40,8,Good ,Bartlett 2021
9,-69.6270962,44.55225634,Serviceberry ,Serviceberry,Bush,40,2,Good ,Bartlett 2021
10,-69.66154058,44.52850708,Crabapple ,Crabapple,Fruiting / Flowering,35,10,Fair ,Bartlett 2021
11,-69.62727604,44.55224549,Elm-American ,Elm,Ornamental,35,5,Good ,Bartlett 2021
12,-69.65262698,44.57611534,Oak-Northern Red ,Oak,Ornamental,35,19,Fair ,Bartlett 2021
13,-69.62733975,44.55069452,Birch-Paper ,Birch,Ornamental,30,8,Fair ,Bartlett 2021
14,-69.62782513,44.55110006,Crabapple ,Crabapple,Fruiting / Flowering,30,3,Good ,Bartlett 2021
15,-69.62748217,44.55064301,Crabapple ,Crabapple,Fruiting / Flowering,30,5,Good ,Bartlett 2021
16,-69.62744157,44.55065334,Crabapple ,Crabapple,Fruiting / Flowering,30,5,Good ,Bartlett 2021
17,-69.65270976,44.57625846,Oak-Northern Red ,Oak,Ornamental,30,13,Good ,Bartlett 2021
18,-69.65236748,44.57561059,Oak-Northern Red ,Oak,Ornamental,30,14,Good ,Bartlett 2021
19,-69.66199199,44.52853189,Oak-Northern Red ,Oak,Ornamental,30,18,Good ,Bartlett 2021
20,-69.6602494,44.53418565,Oak-Northern Red ,Oak,Ornamental,30,19,Fair ,Bartlett 2021
21,-69.64312021,44.53454138,Oak-Northern Red ,Oak,Ornamental,30,22,Fair ,Bartlett 2021
22,-69.6272928,44.5527073,Serviceberry ,Serviceberry,Bush,30,1,Good ,Bartlett 2021
23,-69.62982312,44.54962414,Crabapple ,Crabapple,Fruiting / Flowering,25,8,Good ,Bartlett 2021
24,-69.62752049,44.55065079,Crabapple ,Crabapple,Fruiting / Flowering,25,5,Good ,Bartlett 2021
25,-69.63316194,44.55088523,Elm-American ,Elm,Ornamental,25,19,Good ,Bartlett 2021
26,-69.62812371,44.55040987,Elm-American ,Elm,Ornamental,25,21,Good ,Bartlett 2021
27,-69.65218834,44.5743552,Oak-Northern Red ,Oak,Ornamental,25,2,Good ,Bartlett 2021
28,-69.66124895,44.5277905,Oak-Northern Red ,Oak,Ornamental,25,17,Good ,Bartlett 2021
29,-69.66060913,44.53424287,Oak-Northern Red ,Oak,Ornamental,25,18,Good ,Bartlett 2021
30,-69.64313773,44.53452574,Oak-Northern Red ,Oak,Ornamental,25,18,Fair ,Bartlett 2021
31,-69.64238261,44.53506726,Oak-Northern Red ,Oak,Ornamental,25,19,Good ,Bartlett 2021
32,-69.6272516,44.55264931,Serviceberry ,Serviceberry,Bush,25,2,Good ,Bartlett 2021
33,-69.62729552,44.55263123,Serviceberry ,Serviceberry,Bush,25,2,Good ,Bartlett 2021
34,-69.65940466,44.52692271,Cherry-Black ,Cherry,Fruiting / Flowering,20,16,Fair ,Bartlett 2021
35,-69.62756106,44.55066051,Crabapple ,Crabapple,Fruiting / Flowering,20,4,Good ,Bartlett 2021
36,-69.62758786,44.55068272,Crabapple ,Crabapple,Fruiting / Flowering,20,6,Good ,Bartlett 2021
37,-69.62723581,44.55280444,Elm-American ,Elm,Ornamental,20,3,Good ,Bartlett 2021
38,-69.62743323,44.55288368,Elm-American ,Elm,Ornamental,20,4,Good ,Bartlett 2021
39,-69.65206597,44.57404144,Oak-Northern Red ,Oak,Ornamental,20,13,Good ,Bartlett 2021
40,-69.65267938,44.5761987,Oak-Northern Red ,Oak,Ornamental,20,13,Good ,Bartlett 2021
41,-69.65080745,44.57097762,Oak-Northern Red ,Oak,Ornamental,20,15,Good ,Bartlett 2021
42,-69.65206423,44.57371678,Oak-Northern Red ,Oak,Ornamental,20,16,Good ,Bartlett 2021
43,-69.65110417,44.57096406,Oak-Northern Red ,Oak,Ornamental,20,20,Good ,Bartlett 2021
44,-69.65324524,44.57743118,Oak-Northern Red ,Oak,Ornamental,20,25,Good ,Bartlett 2021
45,-69.64313456,44.53455674,Oak-Northern Red ,Oak,Ornamental,20,21,Good ,Bartlett 2021
46,-69.64359005,44.55103734,Oak-White ,Oak,Ornamental,20,19,Good ,Bartlett 2021
47,-69.63062361,44.56818771,Pear-Callery ,Pear,Fruiting / Flowering,20,6,Good ,Bartlett 2021
48,-69.63042373,44.56816628,Pear-Callery ,Pear,Fruiting / Flowering,20,13,Fair ,Bartlett 2021
49,-69.63052176,44.56818053,Pear-Callery ,Pear,Fruiting / Flowering,20,14,Fair ,Bartlett 2021
50,-69.6299331,44.56809238,Pear-Callery ,Pear,Fruiting / Flowering,20,15,Poor ,Bartlett 2021
51,-69.65216823,44.57445103,Oak-Northern Red ,Oak,Ornamental,18,12,Good ,Bartlett 2021
52,-69.65107462,44.57094074,Oak-Northern Red ,Oak,Ornamental,18,14,Good ,Bartlett 2021
53,-69.65987791,44.52698536,Oak-Northern Red ,Oak,Ornamental,18,14,Good ,Bartlett 2021
54,-69.65459088,44.57916694,Oak-Northern Red ,Oak,Ornamental,16,16,Fair ,Bartlett 2021
55,-69.66215938,44.52860732,Cherry-Black ,Cherry,Fruiting / Flowering,15,9,Fair ,Bartlett 2021
56,-69.62820905,44.55183039,Elm-American ,Elm,Ornamental,15,8,Fair ,Bartlett 2021
57,-69.6427722,44.5509343,Elm-American ,Elm,Ornamental,15,12,Good ,Bartlett 2021
58,-69.62762859,44.55329479,Elm-American ,Elm,Ornamental,15,3,Good ,Bartlett 2021
59,-69.62753091,44.55318014,Elm-American ,Elm,Ornamental,15,4,Good ,Bartlett 2021
60,-69.65227054,44.57530671,Oak-Northern Red ,Oak,Ornamental,15,10,Poor ,Bartlett 2021
61,-69.65500414,44.57974918,Oak-Northern Red ,Oak,Ornamental,15,12,Good ,Bartlett 2021
62,-69.65402914,44.57826316,Oak-Northern Red ,Oak,Ornamental,15,12,Good ,Bartlett 2021
63,-69.64377073,44.53456225,Oak-Northern Red ,Oak,Ornamental,15,13,Good ,Bartlett 2021
64,-69.65120883,44.57112587,Oak-Northern Red ,Oak,Ornamental,15,14,Good ,Bartlett 2021
65,-69.65362163,44.57792831,Oak-Northern Red ,Oak,Ornamental,15,17,Good ,Bartlett 2021
66,-69.65497412,44.58014626,Oak-Northern Red ,Oak,Ornamental,15,18,Good ,Bartlett 2021
67,-69.65112297,44.57101406,Oak-Northern Red ,Oak,Ornamental,15,20,Good ,Bartlett 2021
68,-69.6549539,44.5801069,Oak-Northern Red ,Oak,Ornamental,15,20,Good ,Bartlett 2021
69,-69.65200715,44.57447261,Oak-Northern Red ,Oak,Ornamental,15,22,Fair ,Bartlett 2021
70,-69.65209514,44.57396555,Oak-Northern Red ,Oak,Ornamental,15,24,Good ,Bartlett 2021
71,-69.65981635,44.52698401,Oak-Northern Red ,Oak,Ornamental,15,15,Good ,Bartlett 2021
72,-69.64311727,44.53453753,Oak-Northern Red ,Oak,Ornamental,15,16,Poor ,Bartlett 2021
73,-69.65951182,44.52693367,Oak-Northern Red ,Oak,Ornamental,15,20,Good ,Bartlett 2021
74,-69.65967936,44.52694735,Oak-Northern Red ,Oak,Ornamental,15,25,Good ,Bartlett 2021
75,-69.63023696,44.5681316,Pear-Callery ,Pear,Fruiting / Flowering,15,12,Poor ,Bartlett 2021
76,-69.65303682,44.5772068,Oak-Northern Red ,Oak,Ornamental,14,15,Good ,Bartlett 2021
77,-69.66273079,44.52888795,Cherry-Black ,Cherry,Fruiting / Flowering,13,6,Good ,Bartlett 2021
78,-69.66239343,44.52878788,Cherry-Black ,Cherry,Fruiting / Flowering,12,11,Fair ,Bartlett 2021
79,-69.62758631,44.55079453,Elm-American ,Elm,Ornamental,12,9,Good ,Bartlett 2021
80,-69.64267103,44.53471302,Elm-American ,Elm,Ornamental,12,20,Good ,Bartlett 2021
81,-69.6559364,44.5805621,Oak-Northern Red ,Oak,Ornamental,12,12,Good ,Bartlett 2021
82,-69.65234994,44.5756568,Oak-Northern Red ,Oak,Ornamental,12,14,Fair ,Bartlett 2021
83,-69.65937963,44.52722559,Oak-Northern Red ,Oak,Ornamental,11,13,Good ,Bartlett 2021
84,-69.64236979,44.53506288,Oak-Northern Red ,Oak,Ornamental,11,20,Good ,Bartlett 2021
85,-69.66127637,44.52777909,Cherry-Black ,Cherry,Fruiting / Flowering,10,7,Poor ,Bartlett 2021
86,-69.66015207,44.53420321,Cherry-Black ,Cherry,Fruiting / Flowering,10,10,Fair ,Bartlett 2021
87,-69.66236943,44.52873184,Cherry-Black ,Cherry,Fruiting / Flowering,10,12,Poor ,Bartlett 2021
88,-69.66235045,44.52875797,Cherry-Black ,Cherry,Fruiting / Flowering,10,13,Poor ,Bartlett 2021
89,-69.64310509,44.5346416,Cherry-Black ,Cherry,Fruiting / Flowering,10,6,Fair ,Bartlett 2021
90,-69.62748159,44.55081456,Crabapple ,Crabapple,Fruiting / Flowering,10,5,Good ,Bartlett 2021
91,-69.62774616,44.55068667,Elm-American ,Elm,Ornamental,10,5,Good ,Bartlett 2021
92,-69.6629997,44.52905155,Maple-Sugar ,Maple,Fruiting / Flowering,10,10,Good ,Bartlett 2021
93,-69.64319637,44.53456748,Maple-Sugar ,Maple,Fruiting / Flowering,10,19,Good ,Bartlett 2021
94,-69.65513893,44.58027553,Oak-Northern Red ,Oak,Ornamental,10,11,Good ,Bartlett 2021
95,-69.65206818,44.57468374,Oak-Northern Red ,Oak,Ornamental,10,11,Fair ,Bartlett 2021
96,-69.65293689,44.57690561,Oak-Northern Red ,Oak,Ornamental,10,14,Good ,Bartlett 2021
97,-69.65516585,44.58030435,Oak-Northern Red ,Oak,Ornamental,10,14,Good ,Bartlett 2021
98,-69.65230512,44.57544751,Oak-Northern Red ,Oak,Ornamental,10,14,Good ,Bartlett 2021
99,-69.65495702,44.58006617,Oak-Northern Red ,Oak,Ornamental,10,15,Good ,Bartlett 2021
100,-69.65942426,44.52694902,Oak-Northern Red ,Oak,Ornamental,10,16,Good ,Bartlett 2021
101,-69.65133159,44.5721718,Oak-Northern Red ,Oak,Ornamental,10,16,Good ,Bartlett 2021
102,-69.65504533,44.58020694,Oak-Northern Red ,Oak,Ornamental,10,17,Good ,Bartlett 2021
