,lon,lat,common_name,condition_class,obs_btm_nests,tree_type,entry_source
81,-69.6559364,44.5805621,Oak,Good ,12,Ornamental,Bartlett
82,-69.65234994,44.5756568,Oak,Fair ,12,Ornamental,Bartlett
83,-69.65937963,44.52722559,Oak,Good ,11,Ornamental,Bartlett
84,-69.64236979,44.53506288,Oak,Good ,11,Ornamental,Bartlett
85,-69.66127637,44.52777909,Cherry,Poor ,10,Fruiting / Flowering,Bartlett
86,-69.66015207,44.53420321,Cherry,Fair ,10,Fruiting / Flowering,Bartlett
87,-69.66236943,44.52873184,Cherry,Poor ,10,Fruiting / Flowering,Bartlett
88,-69.66235045,44.52875797,Cherry,Poor ,10,Fruiting / Flowering,Bartlett
89,-69.64310509,44.5346416,Cherry,Fair ,10,Fruiting / Flowering,Bartlett
90,-69.62748159,44.55081456,Crabapple,Good ,10,Fruiting / Flowering,Bartlett
91,-69.62774616,44.55068667,Elm,Good ,10,Ornamental,Bartlett
92,-69.6629997,44.52905155,Maple,Good ,10,Fruiting / Flowering,Bartlett
93,-69.64319637,44.53456748,Maple,Good ,10,Fruiting / Flowering,Bartlett
94,-69.65513893,44.58027553,Oak,Good ,10,Ornamental,Bartlett
95,-69.65206818,44.57468374,Oak,Fair ,10,Ornamental,Bartlett
96,-69.65293689,44.57690561,Oak,Good ,10,Ornamental,Bartlett
97,-69.65516585,44.58030435,Oak,Good ,10,Ornamental,Bartlett
98,-69.65230512,44.57544751,Oak,Good ,10,Ornamental,Bartlett
99,-69.65495702,44.58006617,Oak,Good ,10,Ornamental,Bartlett
100,-69.65942426,44.52694902,Oak,Good ,10,Ornamental,Bartlett
101,-69.65133159,44.5721718,Oak,Good ,10,Ornamental,Bartlett
102,-69.65504533,44.58020694,Oak,Good ,10,Ornamental,Bartlett
103,-69.65520689,44.58040052,Oak,Good ,10,Ornamental,Bartlett
104,-69.64257227,44.53476168,Oak,Good ,10,Ornamental,Bartlett
105,-69.65900227,44.5341433,Poplar,Fair ,10,Ornamental,Bartlett
106,-69.6590225,44.53414999,Poplar,Good ,10,Ornamental,Bartlett
107,-69.65908337,44.53413742,Poplar,Fair ,10,Ornamental,Bartlett
108,-69.62710292,44.5522326,Serviceberry,Good ,10,Bush,Bartlett
109,-69.65336166,44.57763509,Oak,Good ,9,Ornamental,Bartlett
110,-69.65241095,44.57498831,Oak,Good ,9,Ornamental,Bartlett
111,-69.65236595,44.57493243,Oak,Fair ,9,Ornamental,Bartlett
112,-69.65478777,44.57963848,Oak,Poor ,9,Ornamental,Bartlett
113,-69.65268259,44.57623676,Oak,Good ,9,Ornamental,Bartlett
114,-69.65973543,44.52693721,Cherry,Poor ,8,Fruiting / Flowering,Bartlett
115,-69.65427843,44.57851488,Oak,Good ,8,Ornamental,Bartlett
116,-69.65306835,44.57720163,Oak,Fair ,8,Ornamental,Bartlett
117,-69.65984036,44.52696524,Oak,Good ,8,Ornamental,Bartlett
118,-69.66260402,44.52888256,Elm,Good ,7,Ornamental,Bartlett
119,-69.63295252,44.55078112,Elm,Fair ,7,Ornamental,Bartlett
120,-69.65230187,44.57540352,Oak,Good ,7,Ornamental,Bartlett
121,-69.65439304,44.57881204,Oak,Good ,7,Ornamental,Bartlett
122,-69.65277791,44.57631,Oak,Good ,7,Ornamental,Bartlett
123,-69.65433897,44.57864415,Oak,Fair ,7,Ornamental,Bartlett
124,-69.65195175,44.57416678,Oak,Fair ,7,Ornamental,Bartlett
125,-69.65199138,44.57436582,Oak,Good ,7,Ornamental,Bartlett
126,-69.62718586,44.55285557,Elm,Good ,6,Ornamental,Bartlett
127,-69.65226799,44.57530906,Oak,Poor ,6,Ornamental,Bartlett
128,-69.65225454,44.57537905,Oak,Good ,6,Ornamental,Bartlett
129,-69.65229843,44.57468022,Oak,Fair ,6,Ornamental,Bartlett
130,-69.6546466,44.57937535,Oak,Good ,6,Ornamental,Bartlett
131,-69.65439971,44.57876519,Oak,Fair ,6,Ornamental,Bartlett
132,-69.66076598,44.53402736,Oak,Good ,6,Ornamental,Bartlett
133,-69.65206606,44.57393026,Oak,Fair ,6,Ornamental,Bartlett
134,-69.6425897,44.53476084,Oak,Good ,6,Ornamental,Bartlett
135,-69.65621874,44.58058279,Poplar,Good ,6,Ornamental,Bartlett
136,-69.66122492,44.52740095,Cherry,Poor ,5,Fruiting / Flowering,Bartlett
137,-69.66126843,44.52750085,Cherry,Fair ,5,Fruiting / Flowering,Bartlett
138,-69.66231483,44.52871846,Cherry,Poor ,5,Fruiting / Flowering,Bartlett
139,-69.65983454,44.52693969,Cherry,Poor ,5,Fruiting / Flowering,Bartlett
140,-69.64232827,44.53535187,Elm,Fair ,5,Ornamental,Bartlett
141,-69.62812148,44.55318007,Maple,Good ,5,Fruiting / Flowering,Bartlett
142,-69.62813864,44.55320396,Maple,Fair ,5,Fruiting / Flowering,Bartlett
143,-69.66005798,44.53416864,Oak,Good ,5,Ornamental,Bartlett
144,-69.65265739,44.57618217,Oak,Good ,5,Ornamental,Bartlett
145,-69.65211925,44.57474833,Oak,Good ,5,Ornamental,Bartlett
146,-69.65205625,44.57379336,Oak,Good ,5,Ornamental,Bartlett
147,-69.65504194,44.58023014,Oak,Good ,5,Ornamental,Bartlett
148,-69.65229882,44.57544782,Oak,Good ,5,Ornamental,Bartlett
149,-69.65229111,44.5754978,Oak,Good ,5,Ornamental,Bartlett
150,-69.65506126,44.5802936,Oak,Good ,5,Ornamental,Bartlett
151,-69.62771206,44.55104351,Oak,Fair ,5,Ornamental,Bartlett
152,-69.65893409,44.53416552,Poplar,Poor ,5,Ornamental,Bartlett
153,-69.62718877,44.55265543,Serviceberry,Good ,5,Bush,Bartlett
154,-69.62713603,44.55225725,Serviceberry,Good ,5,Bush,Bartlett
155,-69.62716118,44.55267326,Serviceberry,Good ,5,Bush,Bartlett
156,-69.66239035,44.52876396,Cherry,Fair ,4,Fruiting / Flowering,Bartlett
157,-69.66287648,44.52895554,Cherry,Good ,4,Fruiting / Flowering,Bartlett
158,-69.66311098,44.52912631,Cherry,Good ,4,Fruiting / Flowering,Bartlett
159,-69.63349676,44.55082061,Elm,Good ,4,Ornamental,Bartlett
160,-69.62791142,44.55080465,Elm,Good ,4,Ornamental,Bartlett
161,-69.62770598,44.55062902,Elm,Good ,4,Ornamental,Bartlett
162,-69.62783225,44.55077055,Elm,Fair ,4,Ornamental,Bartlett
163,-69.64368187,44.53447497,Maple,Fair ,4,Ornamental,Bartlett
164,-69.63857977,44.53810995,Maple,Good ,4,Ornamental,Bartlett
165,-69.62822185,44.55167588,Maple,Good ,4,Ornamental,Bartlett
166,-69.65453839,44.57912047,Oak,Good ,4,Ornamental,Bartlett
167,-69.65517702,44.58034696,Oak,Poor ,4,Ornamental,Bartlett
168,-69.63114357,44.56742048,Oak,Poor ,4,Ornamental,Bartlett
169,-69.65520196,44.58017348,Oak,Good ,4,Ornamental,Bartlett
170,-69.65525538,44.58039947,Oak,Good ,4,Ornamental,Bartlett
171,-69.65146319,44.57196822,Oak,Good ,4,Ornamental,Bartlett
172,-69.66025894,44.52700934,Poplar,Poor ,4,Ornamental,Bartlett
173,-69.66013014,44.52703605,Poplar,Poor ,4,Ornamental,Bartlett
174,-69.66074205,44.53421557,Poplar,Good ,4,Ornamental,Bartlett
175,-69.63103176,44.56764717,Birch,Good ,3,Ornamental,Bartlett
176,-69.6610809,44.52735703,Cherry,Fair ,3,Fruiting / Flowering,Bartlett
177,-69.66285218,44.52892573,Crabapple,Fair ,3,Fruiting / Flowering,Bartlett
178,-69.62753555,44.55082304,Crabapple,Good ,3,Fruiting / Flowering,Bartlett
179,-69.66299602,44.52903794,Elm,Good ,3,Ornamental,Bartlett
180,-69.64236807,44.53519495,Maple,Fair ,3,Ornamental,Bartlett
181,-69.64630032,44.56156175,Maple,Good ,3,Ornamental,Bartlett
182,-69.62750334,44.55304226,Maple,Good ,3,Fruiting / Flowering,Bartlett
183,-69.65523216,44.58035712,Oak,Good ,3,Ornamental,Bartlett
184,-69.6310976,44.56743681,Oak,Good ,3,Ornamental,Bartlett
185,-69.65227066,44.5753565,Oak,Good ,3,Ornamental,Bartlett
186,-69.6521466,44.57431279,Oak,Good ,3,Ornamental,Bartlett
187,-69.62754872,44.55106704,Oak,Good ,3,Ornamental,Bartlett
188,-69.65513832,44.58004836,Poplar,Good ,3,Ornamental,Bartlett
189,-69.65517166,44.58005571,Poplar,Good ,3,Ornamental,Bartlett
190,-69.66027416,44.52701462,Poplar,Fair ,3,Ornamental,Bartlett
191,-69.66069974,44.5341746,Poplar,Poor ,3,Ornamental,Bartlett
192,-69.65624894,44.58060958,Poplar,Good ,3,Ornamental,Bartlett
193,-69.64632605,44.56190566,Ash,Good ,2,Ornamental,Bartlett
194,-69.65466363,44.57903512,Ash,Good ,2,Ornamental,Bartlett
195,-69.6271846,44.55128731,Birch,Good ,2,Ornamental,Bartlett
196,-69.62708465,44.55221229,Birch,Good ,2,Ornamental,Bartlett
197,-69.62720395,44.55240169,Birch,Good ,2,Ornamental,Bartlett
198,-69.62720547,44.55246532,Birch,Good ,2,Ornamental,Bartlett
199,-69.6272434,44.55249004,Birch,Good ,2,Ornamental,Bartlett
200,-69.62715524,44.55162685,Birch,Good ,2,Ornamental,Bartlett
201,-69.62714661,44.55170741,Birch,Good ,2,Ornamental,Bartlett
202,-69.62718863,44.55115757,Birch,Good ,2,Ornamental,Bartlett
