InvID,TreeID,CommonName,ScientName,Condition,Longitude,Latitude,Dbh1,Dbh2,Dbh3,ObservedBT
11474,345,Elm-American ,Ulmus americana ,Good ,-69.662606310 ,44.528867740 ,7.00 ,0.00 ,0.00 ,5
11474,353,Oak-Northern Red ,Quercus rubra ,Good ,-69.662332370 ,44.528734260 ,23.00 ,0.00 ,0.00 ,15
11474,356,Linden-Littleleaf ,Tilia cordata ,Good ,-69.660235640 ,44.533243150 ,11.00 ,0.00 ,0.00 ,2
11474,383,Oak-Northern Red ,Quercus rubra ,Good ,-69.660606340 ,44.534247570 ,22.00 ,0.00 ,0.00 ,20
11474,385,Oak-Northern Red ,Quercus rubra ,Good ,-69.660214650 ,44.534222090 ,22.00 ,0.00 ,0.00 ,20
11474,394,Cherry-Black ,Prunus serotina ,Good ,-69.659398120 ,44.526959250 ,13.00 ,0.00 ,0.00 ,6
11474,395,Oak-Northern Red ,Quercus rubra ,Good ,-69.659452530 ,44.526953310 ,18.00 ,0.00 ,0.00 ,10
11474,397,Oak-Northern Red ,Quercus rubra ,Good ,-69.659529010 ,44.526930910 ,21.00 ,0.00 ,0.00 ,8
11474,399,Oak-Northern Red ,Quercus rubra ,Good ,-69.659678870 ,44.526935300 ,26.00 ,0.00 ,0.00 ,25
11474,402,Oak-Northern Red ,Quercus rubra ,Good ,-69.643138880 ,44.534569650 ,19.00 ,0.00 ,0.00 ,10
11474,403,Oak-Northern Red ,Quercus rubra ,Good ,-69.643124490 ,44.534555730 ,21.00 ,0.00 ,0.00 ,25
11474,404,Oak-Northern Red ,Quercus rubra ,Good ,-69.643110680 ,44.534552030 ,22.00 ,0.00 ,0.00 ,10
11474,405,Oak-Northern Red ,Quercus rubra ,Good ,-69.643100050 ,44.534546530 ,21.00 ,0.00 ,0.00 ,10
11474,406,Crabapple ,Malus sp ,Good ,-69.661499070 ,44.528508400 ,16.00 ,0.00 ,0.00 ,45
11474,407,Crabapple ,Malus sp ,Good ,-69.661551930 ,44.528506180 ,10.00 ,0.00 ,0.00 ,35
11474,409,Oak-Northern Red ,Quercus rubra ,Good ,-69.661987670 ,44.528519350 ,22.00 ,0.00 ,0.00 ,15
 11474,412,Poplar-Eastern ,Populus deltoides ,Good ,-69.662074270 ,44.528617470 ,12.00 ,0.00 ,0.00 ,3
11474,445,Cherry-Black ,Prunus serotina ,Good ,-69.660100050 ,44.534227490 ,9.00 ,0.00 ,0.00 ,10
11474,467,Poplar-Aspen ,Populus tremuloides ,Good ,-69.660670320 ,44.527170840 ,12.00 ,0.00 ,0.00 ,10
11474,470,Poplar-Aspen ,Populus tremuloides ,Good ,-69.660485100 ,44.527080220 ,11.00 ,0.00 ,0.00 ,4
11474,472,Poplar-Aspen ,Populus tremuloides ,Good ,-69.660318350 ,44.527033790 ,11.00 ,0.00 ,0.00 ,12
11474,474,Cherry-Black ,Prunus serotina ,Good ,-69.659727040 ,44.526957470 ,14.00 ,0.00 ,0.00 ,6
11474,477,Cherry-Black ,Prunus serotina ,Good ,-69.659847020 ,44.526969510 ,12.00 ,0.00 ,0.00 ,10
11474,480,Oak-Northern Red ,Quercus rubra ,Good ,-69.659852730 ,44.526976060 ,19.00 ,0.00 ,0.00 ,2
11474,504,Oak-Northern Red ,Quercus rubra ,Good ,-69.655017490 ,44.579780270 ,14.00 ,0.00 ,0.00 ,2
11474,520,Oak-Northern Red ,Quercus rubra ,Good ,-69.654590030 ,44.579171220 ,16.00 ,0.00 ,0.00 ,10
11474,523,Oak-Northern Red ,Quercus rubra ,Good ,-69.654526200 ,44.579068890 ,8.00 ,0.00 ,0.00 ,3
11474,524,Oak-Northern Red ,Quercus rubra ,Good ,-69.654350800 ,44.578647770 ,15.00 ,0.00 ,0.00 ,6
11474,525,Oak-Northern Red ,Quercus rubra ,Good ,-69.654398350 ,44.578779270 ,12.00 ,0.00 ,0.00 ,2
11474,528,Oak-Northern Red ,Quercus rubra ,Good ,-69.654305980 ,44.578528350 ,7.00 ,0.00 ,0.00 ,4
11474,529,Oak-Northern Red ,Quercus rubra ,Good ,-69.654094290 ,44.578259790 ,13.00 ,0.00 ,0.00 ,4
11474,530,Oak-Northern Red ,Quercus rubra ,Good ,-69.653631870 ,44.577945980 ,22.00 ,0.00 ,0.00 ,5
11474,531,Oak-Northern Red ,Quercus rubra ,Good ,-69.653398200 ,44.577635390 ,8.00 ,0.00 ,0.00 ,6
11474,532,Oak-Northern Red ,Quercus rubra ,Good ,-69.653041400 ,44.577219220 ,17.00 ,0.00 ,0.00 ,2
11474,533,Oak-Northern Red ,Quercus rubra ,Good ,-69.653046010 ,44.577219780 ,18.00 ,0.00 ,0.00 ,2
11474,534,Oak-Northern Red ,Quercus rubra ,Good ,-69.652957820 ,44.576917350 ,15.00 ,0.00 ,0.00 ,4
11474,535,Oak-Northern Red ,Quercus rubra ,Good ,-69.652739770 ,44.576325890 ,13.00 ,8.00 ,0.00 ,1
11474,536,Oak-Northern Red ,Quercus rubra ,Good ,-69.652712270 ,44.576282780 ,14.00 ,10.00 ,0.00 ,1
11474,537,Oak-Northern Red ,Quercus rubra ,Good ,-69.652683930 ,44.576241510 ,15.00 ,0.00 ,0.00 ,2
11474,539,Oak-Northern Red ,Quercus rubra ,Good ,-69.652372930 ,44.575619940 ,16.00 ,15.00 ,0.00 ,5
11474,540,Oak-Northern Red ,Quercus rubra ,Good ,-69.652271520 ,44.575320060 ,8.00 ,0.00 ,0.00 ,1
11474,541,Oak-Northern Red ,Quercus rubra ,Good ,-69.652276290 ,44.575311840 ,9.00 ,0.00 ,0.00 ,4
11474,544,Oak-Northern Red ,Quercus rubra ,Good ,-69.652421270 ,44.574994850 ,8.00 ,0.00 ,0.00 ,2
11474,545,Oak-Northern Red ,Quercus rubra ,Good ,-69.652364990 ,44.574940350 ,11.00 ,0.00 ,0.00 ,3
11474,546,Oak-Northern Red ,Quercus rubra ,Good ,-69.652297500 ,44.574683740 ,12.00 ,0.00 ,0.00 ,2
11474,547,Oak-Northern Red ,Quercus rubra ,Good ,-69.652163430 ,44.574461410 ,11.00 ,0.00 ,0.00 ,1
11474,548,Oak-Northern Red ,Quercus rubra ,Good ,-69.652195730 ,44.574383760 ,28.00 ,0.00 ,0.00 ,2
11474,549,Oak-Northern Red ,Quercus rubra ,Good ,-69.652176190 ,44.574329050 ,14.00 ,0.00 ,0.00 ,1
11474,550,Oak-Northern Red ,Quercus rubra ,Good ,-69.652043650 ,44.574059040 ,11.00 ,10.00 ,9.00 ,2
11474,551,Oak-Northern Red ,Quercus rubra ,Good ,-69.652102730 ,44.573983160 ,26.00 ,0.00 ,0.00 ,4
11474,552,Oak-Northern Red ,Quercus rubra ,Good ,-69.652071340 ,44.573942640 ,20.00 ,0.00 ,0.00 ,1
11474,553,Oak-Northern Red ,Quercus rubra ,Good ,-69.652036310 ,44.573815820 ,8.00 ,0.00 ,0.00 ,2
11474,554,Oak-Northern Red ,Quercus rubra ,Good ,-69.652729350 ,44.576341590 ,15.00 ,0.00 ,0.00 ,3
11474,603,Oak-Northern Red ,Quercus rubra ,Good ,-69.655218520 ,44.580409670 , , , ,2
11474,613,Oak-Northern Red ,Quercus rubra ,Good ,-69.654967200 ,44.580113340 ,19.00 ,0.00 ,0.00 ,10
11474,615,Oak-Northern Red ,Quercus rubra ,Good ,-69.654949240 ,44.580080990 , , , ,4
11474,619,Oak-Northern Red ,Quercus rubra ,Good ,-69.654672440 ,44.579397170 ,11.00 ,7.00 ,0.00 ,2
11474,629,Oak-Northern Red ,Quercus rubra ,Good ,-69.653216000 ,44.577452950 ,28.00 ,0.00 ,0.00 ,8
11474,630,Oak-Northern Red ,Quercus rubra ,Good ,-69.652674000 ,44.576208530 ,17.00 ,10.00 ,0.00 ,3
11474,631,Oak-Northern Red ,Quercus rubra ,Good ,-69.652652760 ,44.576177120 ,7.00 ,0.00 ,0.00 ,2
11474,632,Oak-Northern Red ,Quercus rubra ,Good ,-69.652647080 ,44.576132850 ,23.00 ,0.00 ,0.00 ,10
11474,633,Oak-Northern Red ,Quercus rubra ,Good ,-69.652315760 ,44.575512710 ,17.00 ,0.00 ,0.00 ,2
11474,638,Oak-Northern Red ,Quercus rubra ,Good ,-69.652068550 ,44.574682710 ,11.00 ,0.00 ,0.00 ,5
11474,639,Oak-Northern Red ,Quercus rubra ,Good ,-69.652008730 ,44.574478590 ,24.00 ,0.00 ,0.00 ,2
11474,640,Oak-Northern Red ,Quercus rubra ,Good ,-69.651994630 ,44.574377850 ,28.00 ,0.00 ,0.00 ,2
11474,641,Oak-Northern Red ,Quercus rubra ,Good ,-69.651957250 ,44.574168140 ,19.00 ,0.00 ,0.00 ,1
